From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
333;4559;sea;1300;-1;-1;-1;-1;Majorca-Minorca
4560;333;sea;1295;-1;-1;-1;-1;Ibiza-Majorca
366;4565;sea;1471;-1;-1;-1;-1;Canaries
6;12;sea;1258;3008;1633;3000;1630;Sk�ne-Sjaelland
12;14;sea;1258;2980;1631;2975;1631;Sjaelland-Fyn
14;4142;sea;1258;2965;1635;2963;1641;Fyn-Aarhus
14;4149;sea;1258;-1;-1;-1;-1;Fyn-Kolding
14;1983;sea;1258;2975;1618;2978;1619;Fyn-Lolland
12;1983;sea;1258;2983;1619;2986;1626;Sjaelland-Lolland
123;124;sea;1307;3050;1286;3045;1284;Calabria-Messina
151;316;sea;1320;3261;1343;3258;1344;Thrace-Bithynia
1;1930;sea;1928;3099;1736;3111;1740;Stockholm-�land
1930;27;sea;1253;3131;1745;3140;1750;�land-Finland
142;144;sea;1311;3115;1314;3121;1317;Janina-Corfu
4699;1773;sea;1312;3141;1293;3141;1289;Janina-Achaea
146;164;sea;1319;3180;1288;3185;1282;Athens-Naxos
4779;2296;sea;1320;3229;1332;3228;1335;Gallipoli-Biga
4110;253;sea;1283;2715;1683;2705;1688;Sutherland-Western Isles
4364;253;sea;1283;-1;-1;-1;-1;Inner Hebrides-Outer Hebrides
4364;4110;sea;1283;-1;-1;-1;-1;Inner Hebrides-Sutherland
4364;4363;sea;1283;2718;1654;2721;1655;Inner Hebrides-Argyll
4110;369;sea;1282;2757;1705;2757;1710;Sutherland-Orkney
97;100;sea;1269;2890;1581;2886;1576;Holland-Friesland
96;1865;sea;1269;-1;-1;-1;-1;Zeeland-Gent
1017;1818;sea;1390;4853;1213;4848;1208;Suo-Chikuzen
1014;4186;sea;1390;4860;1202;4872;1202;Bungo-Iyo
4186;1825;sea;1390;4881;1219;4880;1214;Aki-Iyo
2159;666;sea;1370;-1;-1;-1;-1;Jiangmen-Hainan
36;35;sea;1926;3171;1709;3165;1709;Estland-�sel
35;39;sea;1256;3157;1684;3158;1694;�sel-Kurland
597;620;sea;1361;4403;657;4415;672;Johor-Siak
659;2677;sea;1361;4435;636;4433;631;Riau-Palembang
1050;4658;sea;1379;5014;1562;5017;1564;Deren-Nanghaer
1215;387;sea;1330;3482;849;3484;853;Tajura-Mocha
112;1774;sea;1308;2995;1432;2994;1434;Venice-Treviso
54;4141;sea;1268;2945;1599;2943;1597;Stade-Dithmarschen
1820;1021;sea;1391;4912;1219;4919;1223;Awa-Settsu
4131;4193;sea;1387;4999;1357;5005;1351;Oshima-Mutsu
1032;1852;sea;4225;5099;1408;5073;1386;Kurils-Tokachi
1199;1201;sea;1448;-1;-1;-1;-1;Bagamoyo-Zanzibar
1247;127;sea;1298;-1;-1;-1;-1;Corsica-Sardinia
394;396;sea;4347;3589;1076;3592;1074;Al Hasa-Bahrain
395;396;sea;4347;3596;1071;3601;1071;Qatar-Bahrain
4354;4351;sea;4357;4726;791;4732;786;Zamboanga-Buglas
654;2699;sea;1397;-1;-1;-1;-1;Samar-Bikol
648;649;sea;1400;4801;670;4803;667;Halmahera-Ternate
648;650;sea;1400;4805;640;4803;628;Halmahera-Tidore
4647;4643;sea;1423;5548;114;5542;114;South Island-North Island
1268;1258;canal;1775;-1;-1;-1;-1;kiel_canal
1548;1515;canal;835;-1;-1;-1;-1;panama_canal
1328;1316;canal;4316;-1;-1;-1;-1;suez_canal
2348;318;sea;1319;3219;1294;3213;1294;Chios-Sugla
4700;2296;sea;1319;3215;1314;3215;1312;Lesbos-Biga
285;2447;sea;1323;3374;1423;3381;1423;Kaffa-Mapa
3042;2638;sea;1559;-1;-1;-1;-1;Haida-North Coast
249;4121;sea;1284;-1;-1;-1;-1;Ayrshire-Ulster
536;2100;sea;1340;4044;796;4050;793;Madurai-Vanni
2803;502;sea;1522;-1;-1;-1;-1;Orinoco Delta-Trinidad
500;499;sea;1522;-1;-1;-1;-1;St Vincent-St Lucia
499;498;sea;1523;-1;-1;-1;-1;St Lucia-Martinique
